icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
LICA,Lamezia Terme Sant'Eufemia International Airport,large_airport,IT,IT-78,Lamezia Terme (CZ),38.906214,16.246007
LICB,Comiso Airport,medium_airport,IT,IT-82,Comiso,36.99583,14.60889
LICC,Catania-Fontanarossa Airport,large_airport,IT,IT-82,Catania,37.466801,15.0664
LICD,Lampedusa Airport,medium_airport,IT,IT-82,Lampedusa,35.497898,12.6181
LICG,Pantelleria Airport,medium_airport,IT,IT-82,Pantelleria (TP),36.816502,11.9689
LICJ,Falcone–Borsellino Airport,large_airport,IT,IT-82,Palermo,38.175999,13.091
LICP,Palermo-Boccadifalco Airport,medium_airport,IT,IT-82,Palermo,38.115919,13.31337
LICR,Reggio Calabria Airport,medium_airport,IT,IT-78,Reggio Calabria,38.071201,15.6516
LICT,Vincenzo Florio Airport Trapani-Birgi,medium_airport,IT,IT-82,Trapani (TP),37.9114,12.488
LIDB,Belluno Arturo dell'Oro Airport,small_airport,IT,IT-34,Belluno (BL),46.166549,12.250389
LIDC,Cà Negra Private Airstrip,small_airport,IT,IT-34,Loreo (RO),45.08608,12.161455
LIDE,Reggio Emilia Airport,small_airport,IT,IT-45,Reggio Emilia (RE),44.698039,10.664885
LIDR,Ravenna Airport,small_airport,IT,IT-45,Ravenna (RA),44.364291,12.224996
LIDT,Trento-Mattarello Airport,medium_airport,IT,IT-32,Trento (TN),46.023333,11.125
LIEA,Alghero-Fertilia Airport,medium_airport,IT,IT-88,Alghero,40.632099,8.29077
LIEE,Cagliari Elmas Airport,large_airport,IT,IT-88,Cagliari,39.251499,9.05428
LIEO,Olbia Costa Smeralda Airport,large_airport,IT,IT-88,Olbia (SS),40.898953,9.518457
LIER,Oristano-Fenosu Airport,small_airport,IT,IT-88,Oristano,39.895308,8.642661
LIET,Tortolì Airport,medium_airport,IT,IT-88,Arbatax,39.9188,9.68298
LILI,Vercelli Airport,small_airport,IT,IT-21,Vercelli (VC),45.311111,8.4175
LILN,Varese-Venegono Airport,medium_airport,IT,IT-25,Venegono Superiore (VA),45.742199,8.888233
LIMA,Torino-Aeritalia Airport,medium_airport,IT,IT-21,Torino (TO),45.084444,7.603056
LIMC,Milan Malpensa International Airport,large_airport,IT,IT-25,Ferno (VA),45.6306,8.72811
LIME,Il Caravaggio International Airport,large_airport,IT,IT-25,Orio al Serio (BG),45.669362,9.708851
LIMF,Turin Airport,large_airport,IT,IT-21,Caselle Torinese (TO),45.200802,7.64963
LIMG,Riviera Villanova d'Albenga International Airport,medium_airport,IT,IT-42,Villanova d'Albenga (SV),44.050598,8.12743
LIMJ,Genoa Cristoforo Colombo Airport,large_airport,IT,IT-42,Genova (GE),44.412039,8.840732
LIML,Milano Linate Airport,large_airport,IT,IT-25,Segrate (MI),45.445099,9.27674
LIMP,Parma Airport,medium_airport,IT,IT-45,Parma (PR),44.826351,10.29705
LIMW,Aosta Corrado Gex Airport,medium_airport,IT,IT-23,Saint-Christophe (AO),45.738552,7.3683
LIMZ,Cuneo International Airport,medium_airport,IT,IT-21,Levaldigi (CN),44.547458,7.623045
LIPB,Bolzano Airport,medium_airport,IT,IT-32,Bolzano (BZ),46.459245,11.326125
LIPE,Bologna Guglielmo Marconi Airport,large_airport,IT,IT-45,Bologna,44.5354,11.2887
LIPH,Treviso Airport,large_airport,IT,IT-34,Treviso (TV),45.648399,12.1944
LIPK,Forlì-Luigi Ridolfi International Airport,medium_airport,IT,IT-45,Forlì (FC),44.194801,12.0701
LIPO,Brescia Gabriele d'Annunzio Airport,medium_airport,IT,IT-25,Montichiari (BS),45.428902,10.3306
LIPQ,Trieste Airport,large_airport,IT,IT-36,Ronchi dei Legionari/Trieste,45.827499,13.4722
LIPR,Federico Fellini International Airport,large_airport,IT,IT-45,Rimini (RN),44.020024,12.612198
LIPX,Verona Villafranca Valerio Catullo Airport,large_airport,IT,IT-34,Caselle (VR),45.394955,10.887303
LIPY,Marche Airport,medium_airport,IT,IT-57,Falconara Marittima (AN),43.616299,13.3623
LIPZ,Venice Marco Polo Airport,large_airport,IT,IT-34,Venezia (VE),45.505299,12.3519
LIQL,Lucca-Tassignano Airport,small_airport,IT,IT-52,Capannori (LU),43.825825,10.577928
LIQS,Siena-Ampugnano Airport,medium_airport,IT,IT-52,Ampugnano (SI),43.256302,11.255
LIRA,Ciampino–G. B. Pastine International Airport,large_airport,IT,IT-62,Rome,41.798769,12.595331
LIRF,Rome–Fiumicino Leonardo da Vinci International Airport,large_airport,IT,IT-62,Rome,41.804532,12.251998
LIRI,Salerno Costa d'Amalfi Airport,medium_airport,IT,IT-72,Salerno,40.620399,14.9113
LIRJ,Marina di Campo Airport,medium_airport,IT,IT-52,Campo nell'Elba (LI),42.760871,10.239811
LIRN,Naples International Airport,large_airport,IT,IT-72,Napoli,40.886002,14.2908
LIRP,Pisa International Airport,large_airport,IT,IT-52,Pisa (PI),43.683899,10.3927
LIRQ,"Florence Airport, Peretola",large_airport,IT,IT-52,Firenze (FI),43.808558,11.202822
LIRZ,Perugia San Francesco d'Assisi – Umbria International Airport,large_airport,IT,IT-55,Perugia (PG),43.095901,12.5132
LJLJ,Ljubljana Jože Pučnik Airport,large_airport,SI,SI-012,Zgornji Brnik,46.223701,14.4576
LJMB,Maribor Edvard Rusjan Airport,medium_airport,SI,SI-160,Maribor,46.4799,15.6861
LJPZ,Portorož Airport,medium_airport,SI,SI-090,Sečovlje,45.47201,13.615951
LKCS,České Budějovice South Bohemian Airport,large_airport,CZ,CZ-JC,České Budějovice,48.948171,14.42832
LKHK,Hradec Králové Airport,small_airport,CZ,CZ-KR,Hradec Králové,50.253201,15.8452
LKKU,Kunovice Airport,medium_airport,CZ,CZ-ZL,Uherské Hradiště,49.0294,17.439699
LKKV,Karlovy Vary Airport,large_airport,CZ,CZ-KA,Karlovy Vary,50.202999,12.915
LKLN,Plzeň-Líně Airport,medium_airport,CZ,CZ-PL,Plzen,49.675201,13.2746
LKMH,Mnichovo Hradiště Airport,small_airport,CZ,CZ-ST,Mnichovo Hradiště,50.540199,15.0066
LKMT,Leoš Janáček Airport Ostrava,large_airport,CZ,CZ-MO,Mošnov,49.696301,18.111099
LKOL,Olomouc Airport,small_airport,CZ,CZ-OL,Olomouc,49.587712,17.209275
