nut3_code,pps,pps_per_inhabitant
FRC1,53422.09,33000.0
FRC11,21345.06,39600.0
FRC12,5444.06,27300.0
FRC13,16996.56,31000.0
FRC14,9636.41,29200.0
FRC2,34758.31,29400.0
FRC21,17172.23,31000.0
FRC22,7805.03,30200.0
FRC23,5609.97,24100.0
FRC24,4171.09,30300.0
FRD,108379.18,32500.0
FRD1,47092.86,31900.0
FRD11,23917.34,33800.0
FRD12,15783.71,31900.0
FRD13,7391.82,27100.0
FRD2,61286.32,33000.0
FRD21,16749.81,27900.0
FRD22,44536.52,35400.0
FRE,181684.34,30300.0
FRE1,125697.81,30800.0
FRE11,86340.0,32900.0
FRE12,39357.81,27000.0
FRE2,55986.54,29200.0
FRE21,13844.51,26500.0
FRE22,24200.0,29100.0
FRE23,17942.03,31800.0
FRF,182145.44,32600.0
FRF1,69333.41,35700.0
FRF11,44666.98,38100.0
FRF12,24666.43,32000.0
FRF2,45732.42,34800.0
FRF21,7827.04,29400.0
FRF22,9832.15,31400.0
FRF23,23177.92,41100.0
FRF24,4895.32,29000.0
FRF3,67079.6,28800.0
FRF31,22790.02,31100.0
FRF32,4400.99,24600.0
FRF33,29641.75,28000.0
FRF34,10246.84,28800.0
FRG,136072.07,34600.0
FRG0,136072.07,34600.0
FRG01,58965.58,39100.0
FRG02,26404.26,31600.0
FRG03,10634.09,34800.0
FRG04,16464.02,29000.0
FRG05,23604.11,32800.0
FRH,116515.12,33700.0
FRH0,116515.12,33700.0
FRH01,17901.24,29200.0
FRH02,29810.89,31900.0
FRH03,43745.99,38700.0
FRH04,25056.99,31900.0
FRI,205716.4,33300.0
FRI1,124972.19,34700.0
FRI11,10892.9,26300.0
FRI12,67259.33,39300.0
FRI13,12421.74,28500.0
FRI14,9865.02,29800.0
FRI15,24533.2,34600.0
FRI2,21413.66,29500.0
FRI21,7306.47,30500.0
FRI22,2720.14,23800.0
FRI23,11387.05,30700.0
FRI3,59330.55,32200.0
FRI31,11904.39,33900.0
FRI32,20255.68,30000.0
FRI33,11997.66,32000.0
FRI34,15172.82,34300.0
FRJ,204168.97,33100.0
FRJ1,90315.9,30400.0
FRJ11,9529.7,25100.0
FRJ12,22042.13,28700.0
FRJ13,42553.68,34100.0
FRJ14,2185.76,28400.0
FRJ15,14004.62,28100.0
FRJ2,113853.07,35600.0
FRJ21,3951.87,25300.0
FRJ22,8002.25,28600.0
FRJ23,67518.32,45300.0
FRJ24,4695.8,24200.0
FRJ25,5552.79,31500.0
FRJ26,6663.81,28600.0
FRJ27,10486.32,26200.0
FRJ28,6981.92,26000.0
FRK,318938.05,38600.0
FRK1,43502.28,31700.0
FRK11,9521.88,28500.0
FRK12,3880.33,27000.0
FRK13,6156.5,27100.0
FRK14,23943.58,35900.0
FRK2,275435.77,40000.0
FRK21,19820.65,29100.0
FRK22,8909.6,26400.0
