municipality,airports,iso_country,iso_region,latitude_deg,longitude_deg
Årø,ENML,NO,NO-15,62.744701,7.2625
Çanakkale,LTBH,TR,TR-17,40.1376991272,26.4267997742
Çorlu,LTBU,TR,TR-59,41.138199,27.9191
Épinal,LFSG,FR,FR-GES,48.325001,6.06998
Île d'Yeu,LFEY,FR,FR-PDL,46.717641,-2.392544
Örebro,ESOE,SE,SE-T,59.22370147705078,15.038000106811523
Örnsköldsvik,ESNO,SE,SE-Y,63.40829849243164,18.989999771118164
Östersund,ESNZ,SE,SE-Z,63.193546,14.504168
Ørland,ENOL,NO,NO-50,63.69889831542969,9.604000091552734
Ørsta,ENOV,NO,NO-15,62.180000305176,6.0741000175476
České Budějovice,LKCS,CZ,CZ-JC,48.948171,14.42832
İstiklal,LTON,TR,TR-55,41.5129,36.1203
Łódź,EPLL,PL,PL-LD,51.721901,19.3981
Şanlıurfa,LTCS,TR,TR-63,37.445663,38.895592
Şırnak,LTCV,TR,TR-73,37.3647,42.0582
Šiauliai,EYSA,LT,LT-SA,55.89390182495117,23.395000457763672
