municipality,airports,iso_country,iso_region,latitude_deg,longitude_deg
San Bartolomé,GCRR,ES,ES-CN,28.945499,-13.6052
San Javier,LELC,ES,ES-MC,37.775002,-0.812389
Sandane,ENSD,NO,NO-46,61.830002,6.10583
Sanday,EGES,GB,GB-SCT,59.250301,-2.57667
Sandefjord(Torp),ENTO,NO,NO-39,59.186699,10.2586
Sankt Peter-Ording,EDXO,DE,DE-SH,54.308887,8.686944
Santa Cruz da Graciosa,LPGR,PT,PT-20,39.09220123291016,-28.029800415039062
Santa Cruz das Flores,LPFL,PT,PT-20,39.455299377441406,-31.13139915466309
Santander,LEXJ,ES,ES-CB,43.427101,-3.82001
Santiago de Compostela,LEST,ES,ES-GA,42.896301,-8.41514
Santorini Island,LGSR,GR,GR-L,36.400045,25.478638
Sattel,LSVV,CH,CH-GR,46.878333,9.151944
Satu Mare,LRSM,RO,RO-SM,47.7033,22.8857
Savonlinna,EFSA,FI,FI-04,61.9431,28.945101
Scalea (CS),LICK,IT,IT-78,39.776188,15.811343
Schkeuditz,EDDP,DE,DE-SN,51.420657,12.232705
Segrate (MI),LIML,IT,IT-25,45.445099,9.27674
Seia,LPSE,PT,PT-09,40.453186,-7.692059
Seinäjoki / Ilmajoki,EFSI,FI,FI-03,62.692101,22.8323
Seitenstetten,LOLT,AT,AT-3,48.050556,14.661944
Selçuk,LTFB,TR,TR-35,37.950699,27.329
Seville,LEZL,ES,ES-AN,37.417999,-5.89311
Seyhan,LTAF,TR,TR-01,36.982201,35.280399
Sečovlje,LJPZ,SI,SI-090,45.47201,13.615951
Shannon,EINN,IE,IE-CE,52.702,-8.92482
"Shrewsbury, Shropshire",EGOS,GB,GB-ENG,52.798199,-2.66804
Shtraklevo,LBRS,BG,BG-18,43.694801,26.0567
Sibiu,LRSB,RO,RO-SB,45.785841,24.086666
Siirt,LTCL,TR,TR-56,37.97890090942383,41.84040069580078
Siljansnäs,ESVS,SE,SE-W,60.785099,14.8272
Sindal,EKSN,DK,DK-81,57.503502,10.2294
Sinop,LTCM,TR,TR-57,42.018313,35.071774
Sion,LSGS,CH,CH-VS,46.219166,7.326944
Sivas,LTAR,TR,TR-58,39.813801,36.9035
