id1,id2,weight,distance,pct_lufthansa_group,pct_air_france_klm_group,pct_iag_group,pct_nordic_legacy,pct_mediterranean_legacy,pct_turkish_and_south_east_legacy,pct_ryanair_group,pct_easyjet_group,pct_wizz_group,pct_other_low_cost_leisure,pct_cargo,pct_other_specialized,pct_narrowbody_airbus,pct_narrowbody_boeing,pct_widebody,pct_regional,pct_business_jet,operator_coverage,aircraft_coverage,log_total_flights,log_unique_callsigns
"Almería, ES","Madrid, ES",44,414.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.918918918918919,0.05405405405405406,0.022727272727272728,0.8409090909090909,3.8066624897703196,2.5649493574615367
"Almería, ES","Seville, ES",22,318.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1354942159291497,1.6094379124341003
"Almería, ES","Barcelona, ES",21,626.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.4117647058823529,0.7894736842105263,0.0,0.0,0.21052631578947367,0.0,0.8095238095238095,0.9047619047619048,3.091042453358316,2.6390573296152584
"Amsterdam, NL","Dublin, IE",171,749.71,0.0,0.3216374269005848,0.32748538011695905,0.0,0.0,0.0,0.34502923976608185,0.0,0.0,0.0,0.005847953216374269,0.0,0.4088050314465409,0.5660377358490566,0.0,0.025157232704402517,0.0,1.0,0.9298245614035088,5.147494476813453,3.4011973816621555
"Amsterdam, NL","Oslo (Gardermoen), NO",95,959.18,0.0,0.7710843373493976,0.0,0.21686746987951808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.43037974683544306,0.5189873417721519,0.02531645569620253,0.02531645569620253,0.0,0.8736842105263158,0.8315789473684211,4.564348191467836,3.044522437723423
"Amsterdam, NL","Munich, DE",138,664.17,0.49612403100775193,0.49612403100775193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.3652173913043478,0.2956521739130435,0.0,0.33043478260869563,0.008695652173913044,0.9347826086956522,0.8333333333333334,4.9344739331306915,3.4657359027997265
"Amsterdam, NL","Madrid, ES",144,1468.5799999999997,0.0,0.54,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.2892561983471074,0.4462809917355372,0.1652892561983471,0.09917355371900827,0.0,0.6944444444444444,0.8402777777777778,4.976733742420574,3.332204510175204
"Amsterdam, NL","Liverpool, GB",24,523.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2188758248682006,2.3978952727983707
"Amsterdam, NL","Bergen, NO",51,888.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.5813953488372093,0.0,0.37209302325581395,0.0,1.0,0.8431372549019608,3.9512437185814275,2.1972245773362196
"Amsterdam, NL","London, GB",494,341.41,0.0,0.3877118644067797,0.2457627118644068,0.0,0.0,0.0,0.0,0.22033898305084745,0.0,0.0,0.01059322033898305,0.13559322033898305,0.54627539503386,0.009029345372460496,0.022573363431151242,0.40632054176072235,0.01580135440180587,0.9554655870445344,0.8967611336032388,6.20455776256869,4.852030263919617
