icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
EDRZ,Zweibrücken Airport,small_airport,DE,DE-RP,Zweibrücken,49.2094,7.40056
EDSB,Karlsruhe Baden-Baden Airport,large_airport,DE,DE-BW,Rheinmünster,48.7794,8.0805
EDSP,Poltringen Airfield,small_airport,DE,DE-BW,Ammerbuch,48.547282,8.945918
EDSX,Völkleshofen-Lichtenberg Airfield,small_airport,DE,DE-BW,Aspach,49.009332,9.354601
EDTB,Baden-Oos Airfield,small_airport,DE,DE-BW,Baden-Baden,48.791943,8.185833
EDTF,Freiburg im Breisgau Airfield,small_airport,DE,DE-BW,Freiburg im Breisgau,48.022778,7.8325
EDTL,Lahr Airport,medium_airport,DE,DE-BW,Lahr/Schwarzwald,48.369301,7.82772
EDVA,Bad Gandersheim Airfield,small_airport,DE,DE-NI,Bad Gandersheim,51.854168,10.025556
EDVE,Braunschweig-Wolfsburg Airport,medium_airport,DE,DE-NI,Braunschweig,52.319199,10.5561
EDVK,Kassel Airport,large_airport,DE,DE-HE,Calden,51.418395,9.391638
EDWE,Emden Airport,small_airport,DE,DE-NI,Emden,53.391109,7.2275
EDWG,Wangerooge Airport,small_airport,DE,DE-NI,Wangerooge,53.782544,7.919584
EDWI,JadeWeser Airport,small_airport,DE,DE-NI,Wilhelmshaven,53.50222,8.052222
EDWJ,Juist Airport,small_airport,DE,DE-NI,Juist,53.681421,7.056398
EDWL,Langeoog Airport,small_airport,DE,DE-NI,Langeoog,53.742379,7.496345
EDWO,Atterheide Airfield,small_airport,DE,DE-NI,Osnabrück,52.286388,7.969722
EDWR,Borkum Airport,small_airport,DE,DE-NI,Borkum,53.59639,6.709167
EDWS,Norden-Norddeich Airport,small_airport,DE,DE-NI,Norddeich,53.633057,7.190278
EDWU,Varrelbusch Airfield,small_airport,DE,DE-NI,Cloppenburg,52.908333,8.040556
EDWY,Norderney Airport,small_airport,DE,DE-NI,Norderney,53.706944,7.23
EDWZ,Baltrum Airport,small_airport,DE,DE-NI,Baltrum,53.72485,7.373257
EDXA,Flugplatz Achmer,small_airport,DE,DE-NI,Bramsche,52.37722,7.913333
EDXB,Heide-Büsum Airport,small_airport,DE,DE-SH,Oesterdeichstrich,54.153332,8.901667
EDXF,Flensburg-Schäferhaus Airport,small_airport,DE,DE-SH,Flensburg,54.773335,9.378889
EDXH,Helgoland-Düne Airport,small_airport,DE,DE-SH,Helgoland,54.18528,7.915833
EDXJ,Husum-Schwesing Airport,small_airport,DE,DE-SH,Husum,54.5099983215,9.13833332062
EDXK,Leck Airfield,small_airport,DE,DE-SH,Leck,54.790905,8.963439
EDXO,Sankt Peter-Ording Airport,small_airport,DE,DE-SH,Sankt Peter-Ording,54.308887,8.686944
EDXP,Harlesiel Airfield,small_airport,DE,DE-NI,Harlesiel,53.706669,7.820278
EDXS,Seedorf Airfield,small_airport,DE,DE-NI,Zeven,53.335556,9.259444
EDXW,Westerland Sylt Airport,medium_airport,DE,DE-SH,Sylt,54.9132,8.34047
EDXY,Wyk auf Föhr Airport,small_airport,DE,DE-SH,Wyk auf Föhr,54.684444,8.528333
EERE,Rakvere Airfield,small_airport,EE,EE-59,Rakvere,59.364032,26.35874
EEAA,Antsla Airfield,small_airport,EE,EE-86,Antsla,57.826111,26.4925
EEEI,Ämari Air Base,medium_airport,EE,EE-37,Keila,59.259599,24.204799
EEHA,Humala Airfield,small_airport,EE,EE-37,Humala,59.3579,24.3795
EEJI,Jõhvi Airfield,small_airport,EE,EE-44,Jõhvi,59.325974,27.392883
EEKA,Kärdla Airport,medium_airport,EE,EE-39,Kärdla,58.99079895019531,22.830699920654297
EEKE,Kuressaare Airport,medium_airport,EE,EE-74,Kuressaare,58.22990036010742,22.50950050354004
EEKI,Karksi Airfield,small_airport,EE,EE-84,Karksi,58.117078,25.552783
EEKU,Kihnu Airfield,small_airport,EE,EE-67,Saareküla,58.148039,23.998523
EELM,Lange Airfield (Lennundusmuuseum),small_airport,EE,EE-7B,Tartu,58.290658,26.767748
EELU,Lyckholm Airstrip,small_airport,EE,EE-57,Saare,59.02211,23.57808
EENA,Narva Airfield,small_airport,EE,EE-44,Narva,59.388599,28.1136
EEPU,Pärnu Airport,medium_airport,EE,EE-67,Pärnu,58.41899871826172,24.47279930114746
EERA,Rapla Airfield,small_airport,EE,EE-70,Rapla,58.99028,24.716386
