from_id,to_id,weight,distance
"Balice, PL","Liverpool, GB",11,1593.86
"Balice, PL","Madrid, ES",8,2113.61
"Balice, PL","Marignane, Bouches-du-Rhône, FR",2,1329.58
"Balice, PL","Gdańsk, PL",2,486.47
"Balice, PL","Bergen, NO",4,1458.1
"Balice, PL","Lamezia Terme (CZ), IT",3,1273.14
"Balice, PL","Zaventem, BE",3,1084.32
"Balice, PL","Glasgow, GB",6,1733.66
"Balice, PL","Düsseldorf, DE",3,925.75
"Balice, PL","Charleroi, BE",9,1088.1099999999997
"Barcelona, ES","Manchester, Greater Manchester, GB",31,1379.16
"Barcelona, ES","Newcastle upon Tyne, Tyne and Wear, GB",2,1552.68
"Barcelona, ES","Gran Canaria Island, ES",2,2184.63
"Barcelona, ES","Napoli, IT",12,1023.61
"Barcelona, ES","Tenerife, ES",25,2219.8
"Barcelona, ES","Frankfurt am Main, DE",40,1092.54
"Barcelona, ES","Nowy Dwór Mazowiecki, PL",11,1869.31
"Barcelona, ES","Paris, FR",145,890.3400000000001
"Barcelona, ES","Munich, DE",53,1094.6299999999999
"Barcelona, ES","Ronchi dei Legionari/Trieste, IT",4,1045.77
"Barcelona, ES","Valencia, ES",11,295.6
"Barcelona, ES","Bratislava, SK",12,1415.05
"Barcelona, ES","Warsaw, PL",21,1871.0999999999997
"Barcelona, ES","Bucharest, RO",15,1981.7699999999998
"Barcelona, ES","Budapest, HU",28,1514.6
"Barcelona, ES","London, GB",174,1146.99
"Barcelona, ES","Luton, Luton, GB",16,1190.76
"Barcelona, ES","Cardiff, GB",4,1196.82
"Barcelona, ES","Palma de Mallorca, ES",130,201.97
"Barcelona, ES","Geneva, CH",33,637.45
"Barcelona, ES","Copenhagen, DK",29,1768.57
"Barcelona, ES","Rome, IT",88,862.19
"Barcelona, ES","Madrid, ES",136,493.49
"Barcelona, ES","Caselle Torinese (TO), IT",11,625.83
"Barcelona, ES","Bordeaux, FR",13,453.49
"Barcelona, ES","Orio al Serio (BG), IT",22,783.84
"Barcelona, ES","Vienna, AT",26,1369.69
"Barcelona, ES","Porto, PT",39,898.6600000000001
"Barcelona, ES","Dublin, IE",39,1485.69
"Barcelona, ES","Seville, ES",60,809.28
"Barcelona, ES","Zurich, CH",42,855.9000000000001
"Barcelona, ES","Köln (Cologne), DE",20,1132.75
"Barcelona, ES","Istanbul, TR",33,2240.68
"Barcelona, ES","Ibiza (Eivissa), ES",57,276.15
"Barcelona, ES","Alicante, ES",39,403.85
"Barcelona, ES","Mahón (Maó), ES",19,241.05000000000004
"Barcelona, ES","Zaventem, BE",34,1083.78
"Barcelona, ES","Braunschweig, DE",1,1382.87
"Barcelona, ES","Ferno (VA), IT",88,720.79
"Barcelona, ES","Spata-Artemida, GR",14,1904.51
"Barcelona, ES","Schkeuditz, DE",11,1366.29
"Barcelona, ES","Málaga, ES",57,765.97
