icao,callsign,count
4d2502,RYR50YU,1
4ca259,RYR50YU,1
4ca243,RYR50YU,1
4cae6c,RYR29KA,1
48c1a9,RYR29KA,1
4cac84,RYR29KA,1
424c98,MABTE,19
4cade7,RYR29KA,1
4cae6c,RYR4162,1
4ca24f,RYR16YD,1
4ca855,RYR96FW,1
4d2212,RYR96FW,1
4d23fb,RYR16YD,2
4d223a,RYR16YD,1
4cae49,RYR62PB,1
471f36,WZZ338,2
4cadef,RYR261K,1
4d2219,RYR261K,1
471dba,WZZ338,1
48c12c,RYR261K,1
4cadf2,RYR261K,1
471d60,WZZ338,1
4cad11,RYR261K,1
4d2236,RYR261K,1
4caf27,RYR35VA,1
4ca24f,RYR35VA,1
4cadf2,RYR35VA,1
4d2236,RYR35VA,1
4cad11,RYR35VA,1
4caf27,RYR75WQ,1
4caf27,RYR21KV,2
4d2218,RYR6306,1
4cad3c,RYR21KV,3
4d2279,RYR75WQ,1
4ca646,RYR75WQ,1
4ca622,RYR6306,1
4cac88,RYR75WQ,1
4d2504,RYR75WQ,1
4cadf9,RYR21KV,1
4ca9aa,RYR6306,1
4cac7f,RYR75WQ,1
4cae54,RYR6306,1
4ca704,RYR75WQ,1
4cac7f,RYR21KV,1
48c122,RYR367E,1
4cae51,RYR367E,1
4ca24f,RYR7579,1
48c130,RYR367E,1
4caf27,RYR367E,2
4aca92,NSZ4FU,1
4ca7b3,RYR6948,1
4ca2c1,RYR6948,2
4d2236,RYR6948,1
4aca4f,NSZ5358,1
4ca893,RYR99UY,1
4caf27,RYR6948,1
4aca46,NSZ5358,1
4ca8e4,RYR6948,1
4aca92,NSZ3LZ,1
4ac9ec,SAS37Y,1
4aca90,NSZ2VJ,1
4caa58,RYR51DF,1
4cadf0,RYR51DF,1
4cae8e,SAS37Y,1
4cac23,RYR51DF,1
4aca4f,NSZ5352,1
4ac9f5,SAS37Y,1
4aca13,NSZ5352,1
4aca4f,NSZ3LZ,1
47ba78,SAS37Y,1
4aca13,NSZ3LZ,1
4cad2a,RYR51DF,1
4ca622,RYR90LR,1
4d24b1,WZZ7166,1
4ca24f,RYR90LR,1
4d251b,RYR90LR,1
471dc1,WZZ7166,1
4d2271,RYR90LR,1
4cae9e,RYR54RF,1
4cae4c,RYR2SB,1
4ca569,RYR54RF,1
4cae4c,RYR54RF,1
4d2303,RYR94HL,1
4cae49,RYR94HL,1
48c2ab,RYR94HL,1
4d2236,RYR94HL,1
4cae54,RYR94HL,1
48c130,RYR94HL,1
3442cc,ANE45ZE,1
4cad11,RYR4XX,1
343694,ANE45ZE,3
44068e,LDX10C,8
4d251b,RYR4XX,1
4d2301,RYR4XX,1
4d2271,RYR4XX,1
4d225d,RYR68NU,1
4cae54,RYR68NU,1
4cade2,RYR9034,1
4d2382,RYR9034,1
4cadf2,RYR9034,1
4cadfd,RYR1VL,1
4cae4c,RYR9034,1
4cade2,RYR86XC,2
4cadc2,RYR8MP,1
4d2287,RYR86XC,1
4d24b5,WMT7CK,1
4cad11,RYR8MP,1
4cad11,RYR86XC,1
4cadf2,RYR8MP,1
4cadf2,RYR86XC,1
4cadfd,RYR86XC,1
4d251d,RYR8MP,1
4d200c,WMT7CK,1
4cade2,RYR23TK,1
48c232,RYR23TK,1
4cad3d,RYR8809,1
4d24ea,RYR23TK,1
4d2346,RYR84ND,1
4d220a,RYR84ND,1
48c228,RYR84ND,1
4d2240,RYR84ND,1
4d2247,RYR84ND,1
341207,XTX110,1
3483d9,ANE73WK,5
4d247c,ANE30BT,1
3483d9,ANE30BT,4
4d247c,ANE73WK,1
3442cb,ANE2286,1
4d247c,ANE42SD,1
344445,EVE110P,2
342592,VLG8RL,1
3451d8,ANE2033,1
3451d8,ANE2031,1
344445,EVE112P,2
344156,VLG8RL,1
3424d1,VLG8RL,1
346188,VLG8RL,1
346692,VLG8RL,1
344445,EVE7212,1
3c4ec7,BCS5GU,1
3c68cb,BCS1491,1
440058,BCS5GU,1
3c542a,BCS1491,1
3c5424,BCS1491,1
440189,BCS5GU,1
3c5432,BCS5GU,1
3c5422,BCS1491,1
3c5423,BCS1491,1
440059,BCS5GU,1
3c542e,BCS5GU,1
4400b2,EJU46AG,1
8965b9,UAE9912,1
44009e,EJU75XM,1
440d6e,EJU46AG,1
440018,EJU75XM,2
4401e9,EJU46AG,1
44083f,EJU75XM,1
847183,NCA049,1
846a5b,NCA049,1
440c36,EJU47QF,1
4403bb,EJU75XM,1
452180,UAE9906,1
44079a,EJU31CE,1
440735,EJU46AG,1
440c32,EJU31CE,1
4400b3,EJU75XM,1
ab398a,DAL8835,1
47875c,NOZ9JL,1
48548c,KLM45B,1
3c5db0,KLM91K,1
3c1459,KLM1285,6
484cc2,KLM1283,1
3c5db0,KLM1285,1
485779,KLM45B,2
485875,KLM1283,1
3c1459,KLM91K,6
484c1b,KLM1283,1
484cc3,KLM45B,1
4853f4,KLM45B,2
4852f4,KLM1283,1
4852f5,KLM1283,1
484c53,KLM45B,1
485207,KLM1283,1
4855d2,KLM1283,1
48548e,KLM83V,1
485874,KLM65C,1
485874,KLM89W,2
484b32,KLM91Z,1
484b31,KLM9935,1
4855d2,KLM83V,1
485779,KLM65C,1
485a81,TFL061P,1
4855d0,KLM89W,1
486954,KLM91Z,1
485876,KLM65C,1
485876,KLM89W,2
486804,KLM91Z,1
485206,KLM83V,2
484f73,KLM9857,1
485814,KLM83V,1
452130,BCS38L,1
4855d0,KLM91Z,1
4855d2,KLM65C,1
485876,KLM83V,1
4853f4,KLM91Z,1
48548e,KLM91Z,1
484cc2,KLM65C,1
486494,KLM91Z,1
4864eb,KLM65C,1
485778,KLM89W,1
48548e,KLM1799,1
485873,KLM15Z,2
3c1aeb,KLM1805,1
4855d2,KLM13H,1
3c01c3,KLM1801,5
484cc3,KLM1799,1
485814,KLM13H,1
3c1aeb,KLM1801,2
484c51,KLM15Z,1
3c01c3,KLM1805,5
4852f5,KLM15Z,1
484b32,KLM13H,1
485875,KLM1799,1
485814,KLM1799,1
48548e,KLM15Z,1
484c50,KLM1799,1
484c50,KLM13H,1
485876,KLM13H,1
3c6d43,KLM15Z,1
485206,KLM1799,1
484b31,KLM1799,1
484b32,KLM15Z,1
48548c,KLM13H,1
484c52,KLM1715,1
4852f4,KLM17V,1
3c1459,KLM1713,3
4d02c6,JFA54F,1
4d010c,CLX499,1
4d02ec,JFA12Q,1
4855d2,KLM17V,1
4d0101,CLX42B,1
4852f5,KLM1715,2
4855d2,KLM1715,2
3c01c3,KLM1713,1
48548c,KLM17V,1
4d010c,CLX492,1
3c1aeb,KLM1713,1
3c5db0,KLM1713,1
485874,KLM17V,2
484b31,KLM1711,1
4d0114,CLX81T,1
4852f4,KLM1715,1
4d010c,CLX315,1
485876,KLM17V,1
485206,KLM1711,1
3e557d,FSE1D,1
484c52,KLM1127,1
486953,KLM1131,1
485064,KLM1127,2
486483,KLM1131,1
4864ee,KLM1131,1
484c24,KLM1127,1
4864ea,KLM1131,1
485876,KLM1127,1
486802,KLM1131,1
484c50,KLM85F,1
486495,KLM1131,1
485207,KLM85F,1
48548c,KLM1127,1
440c1b,TAY9MS,3
3991e8,AFR73JY,2
392ae9,AFR31XQ,1
39bdb7,AFR84YF,1
3991e5,AFR24UV,1
394c09,AFR28RP,1
39e682,AFR1641,1
485a34,KLM85B,1
486742,KLM1403,1
39bdb3,AFR98ZZ,1
39e698,AFR13YP,1
486897,KLM1411,3
39e695,AFR85MR,1
39bdb4,AFR1641,1
39e695,AFR24UV,1
39bda2,AFR85MR,1
392ae8,AFR73JY,1
39bdb7,AFR31XQ,1
486897,KLM1403,1
486651,KLM85B,1
393322,AFR28RP,1
39bda0,AFR98ZZ,1
392af0,AFR84YF,1
39bda4,AFR31XQ,1
39bda0,AFR13YP,1
4867c2,KLM1403,1
39bda2,AFR24UV,2
486836,KLM1411,1
486836,KLM85B,2
39bdb1,AFR1641,1
39bdb2,AFR98ZZ,1
3991e8,AFR28RP,2
39e687,AFR85MR,1
3985a6,AFR13YP,1
4867c3,KLM1403,1
39bda6,AFR85MR,1
39e684,AFR31XQ,1
39bda0,AFR1641,1
39bda3,AFR98ZZ,1
39bb20,AFR28RP,1
39e68a,AFR84YF,1
39bdb1,AFR84YF,1
486898,KLM1411,2
39bdb0,AFR1641,2
39bdb7,AFR13YP,1
394c0c,AFR73JY,1
392aed,AFR24UV,1
39bda9,AFR31XQ,1
486651,KLM1403,3
398561,AFR9372,1
39e691,AFR98ZZ,1
39e695,AFR28RP,1
49d006,TVS475F,1
39856b,AFR85MR,1
39bb20,AFR84YF,1
39bdae,AFR24UV,2
39bda1,AFR13YP,1
486898,KLM85B,1
39e681,AFR1641,1
39bdb0,AFR85MR,1
486741,KLM1411,1
39e682,AFR31XQ,1
3991e6,AFR73JY,1
3950cd,AFR28RP,1
39bb20,AFR31XQ,1
484556,KLM85B,1
39bda4,AFR84YF,1
394c18,AFR85MR,1
39bda3,AFR13YP,1
39856a,AFR98ZZ,1
39bdb1,AFR73JY,1
485874,KLM73Y,1
48548c,KLM1641,1
4855d0,KLM73Y,1
48548d,KLM1641,1
485064,KLM73Y,1
4853f4,KLM1641,1
485779,KLM73Y,1
4855d1,KLM1641,2
485876,KLM73Y,1
485779,KLM1641,1
485778,KLM73Y,1
484c1b,KLM1753,1
3c5db0,KLM49F,4
486492,KLM37Y,3
484165,KLM83A,2
4853f4,KLM49K,2
486648,CND091P,1
486800,KLM37Y,1
48418a,KLM83A,1
4868a6,KLM1753,1
3c1459,KLM49F,1
4855d0,KLM49K,1
486803,KLM1753,1
484442,KLM83A,1
484131,KLM83A,1
4864ee,KLM1753,1
486953,KLM1753,1
485a34,KLM83A,1
484c1b,KLM49K,1
