id1,id2,weight,distance
"Antalya, TR","Nuremberg, DE",7,2114.06
"Antalya, TR","Leeds, West Yorkshire, GB",2,3115.55
"Antalya, TR","Hannover, DE",15,2387.12
"Antalya, TR","Zurich, CH",13,2165.34
"Antalya, TR","Düsseldorf, DE",29,2478.71
"Antalya, TR","Paris, FR",6,2673.52
"Antalya, TR","Billund, DK",3,2650.92
"Antalya, TR","Bristol, GB",4,3082.36
"Antalya, TR","Birmingham, West Midlands, GB",8,3060.36
"Antalya, TR","Stuttgart, DE",15,2182.41
"Antalya, TR","London, GB",32,2913.1099999999997
"Antalya, TR","Hamburg, DE",10,2454.52
"Antalya, TR","Munich, DE",14,2000.9299999999998
"Antalya, TR","Manchester, Greater Manchester, GB",18,3130.5199999999995
"Antalya, TR","Vienna, AT",13,1701.9299999999998
"Antalya, TR","Berlin, DE",12,2185.92
"Antalya, TR","Köln (Cologne), DE",14,2432.08
"Antalya, TR","Southend-on-Sea, Essex, GB",3,2868.58
"Antalya, TR","Luton, Luton, GB",10,2949.1
"Antalya, TR","Copenhagen, DK",8,2489.08
"Antwerp, BE","Valencia, ES",1,1356.52
"Antwerp, BE","Hamburg, DE",1,455.31
"Antwerp, BE","St. Gallen, CH",5,553.09
"Antwerp, BE","Stuttgart, DE",1,439.51
"Antwerp, BE","Málaga, ES",8,1763.33
"Antwerp, BE","Geneva, CH",5,563.74
"Arvidsjaur, SE","Stuttgart, DE",5,1969.08
"Arvidsjaur, SE","Hannover, DE",2,1555.66
"Arvidsjaur, SE","Köln (Cologne), DE",3,1777.6
"Arvidsjaur, SE","Munich, DE",6,1966.4399999999998
"Augsburg, DE","Marignane, Bouches-du-Rhône, FR",15,708.91
"Augsburg, DE","Hamburg, DE",3,577.9
"Augsburg, DE","Maribor, SI",1,417.72
"Augsburg, DE","Toussus-le-Noble, Yvelines, FR",3,649.77
"Augsburg, DE","Bucharest, RO",2,1236.9
"Augsburg, DE","Berlin, DE",1,474.05
"Augsburg, DE","Schkeuditz, DE",1,345.83
"Avignon, FR","Geneva, CH",2,275.95
"Avignon, FR","Lesquin, FR",1,752.77
"Bacău, RO","Luton, Luton, GB",12,2055.66
"Bacău, RO","Zaventem, BE",1,1708.38
"Badajoz, ES","Madrid, ES",12,318.9
"Badajoz, ES","Tenerife, ES",2,1479.01
"Balice, PL","Oslo (Gardermoen), NO",28,1250.58
"Balice, PL","Zurich, CH",18,872.5
"Balice, PL","Copenhagen, DK",32,779.35
"Balice, PL","Munich, DE",23,611.42
"Balice, PL","Porto, PT",10,2401.17
"Balice, PL","London, GB",83,1398.3299999999997
"Balice, PL","Málaga, ES",18,2445.63
"Balice, PL","Dublin, IE",26,1820.41
"Balice, PL","Beauvais, FR",16,1268.1600000000003
"Balice, PL","Newcastle upon Tyne, Tyne and Wear, GB",14,1545.34
"Balice, PL","Frankfurt am Main, DE",52,800.8
"Balice, PL","Belfast, GB",10,1814.1799999999998
"Balice, PL","Luton, Luton, GB",36,1420.3800000000003
"Balice, PL","Stavanger, NO",10,1333.62
"Balice, PL","Geneva, CH",5,1098.54
"Balice, PL","Valletta, MT",25,1639.0
"Balice, PL","Birmingham, West Midlands, GB",31,1515.37
"Balice, PL","Warsaw, PL",91,251.13000000000002
"Balice, PL","Szymany, PL",4,386.74
"Balice, PL","Barcelona, ES",40,1679.8399999999997
"Balice, PL","Colombier-Saugnieu, Rhône, FR",4,1194.89
"Balice, PL","Larnaca, CY",6,2028.9000000000003
"Balice, PL","Vienna, AT",29,320.34999999999997
"Balice, PL","Valencia, ES",10,1975.4299999999998
"Balice, PL","Orio al Serio (BG), IT",31,896.0899999999999
"Balice, PL","Sandefjord(Torp), NO",21,1181.42
"Balice, PL","Luxembourg, LU",4,973.03
"Balice, PL","Pescara, IT",3,952.47
"Balice, PL","Bologna, IT",12,887.86
"Balice, PL","Helsinki (Vantaa), FI",11,1184.29
"Balice, PL","Memmingen, DE",10,733.11
"Balice, PL","Capannori (LU), IT",1,984.34
"Balice, PL","Jasionka, PL",2,159.78
"Balice, PL","Bournemouth, GB",7,1528.28
"Balice, PL","Eindhoven, NL",20,1023.22
"Balice, PL","Ronchi dei Legionari/Trieste, IT",6,666.15
"Balice, PL","Manchester, Greater Manchester, GB",33,1556.24
"Balice, PL","Vilnius, LT",8,629.09
"Balice, PL","Edinburgh, GB",28,1670.98
"Balice, PL","Paris, FR",45,1261.5099999999998
"Balice, PL","Bristol, GB",28,1584.06
"Balice, PL","Rome, IT",45,1080.87
"Balice, PL","Paphos, CY",5,1994.94
"Balice, PL","Thessaloniki, GR",9,1091.38
"Balice, PL","Leeds, West Yorkshire, GB",20,1521.58
"Balice, PL","Göteborg, SE",12,987.06
"Balice, PL","Istanbul, TR",20,1229.95
"Balice, PL","Palermo, IT",6,1425.6500000000003
"Balice, PL","Bergen, NO",8,1458.1
"Balice, PL","Lamezia Terme (CZ), IT",5,1273.14
"Balice, PL","Zaventem, BE",5,1084.32
"Balice, PL","Ferno (VA), IT",18,960.3999999999999
"Balice, PL","Bucharest, RO",14,778.16
"Balice, PL","Glasgow, GB",12,1733.66
"Balice, PL","Düsseldorf, DE",3,925.75
"Balice, PL","Liverpool, GB",22,1593.86
"Balice, PL","Charleroi, BE",18,1088.1099999999997
"Balice, PL","Shannon, IE",14,1999.68
"Balice, PL","Madrid, ES",14,2113.61
"Balice, PL","Stockholm, SE",18,1054.45
"Balice, PL","Marignane, Bouches-du-Rhône, FR",4,1329.58
"Balice, PL","Gdańsk, PL",4,486.47
"Barcelona, ES","Manchester, Greater Manchester, GB",61,1379.16
"Barcelona, ES","Newcastle upon Tyne, Tyne and Wear, GB",4,1552.68
"Barcelona, ES","Gran Canaria Island, ES",2,2184.63
"Barcelona, ES","Napoli, IT",13,1023.61
"Barcelona, ES","Frankfurt am Main, DE",80,1092.54
"Barcelona, ES","Nowy Dwór Mazowiecki, PL",22,1869.31
"Barcelona, ES","Paris, FR",286,890.3400000000001
"Barcelona, ES","Munich, DE",102,1094.6299999999999
"Barcelona, ES","Ronchi dei Legionari/Trieste, IT",8,1045.77
"Barcelona, ES","Valencia, ES",22,295.6
"Barcelona, ES","Bratislava, SK",24,1415.05
"Barcelona, ES","Warsaw, PL",42,1871.0999999999997
"Barcelona, ES","Bucharest, RO",31,1981.7699999999998
"Barcelona, ES","Budapest, HU",54,1514.6
"Barcelona, ES","London, GB",350,1146.99
"Barcelona, ES","Luton, Luton, GB",34,1190.76
"Barcelona, ES","Cardiff, GB",4,1196.82
"Barcelona, ES","Palma de Mallorca, ES",267,201.97
"Barcelona, ES","Geneva, CH",67,637.45
"Barcelona, ES","Copenhagen, DK",58,1768.57
"Barcelona, ES","Rome, IT",175,862.19
"Barcelona, ES","Madrid, ES",261,493.49
"Barcelona, ES","Tenerife, ES",31,2219.8
"Barcelona, ES","Caselle Torinese (TO), IT",22,625.83
"Barcelona, ES","Bordeaux, FR",25,453.49
"Barcelona, ES","Orio al Serio (BG), IT",44,783.84
