id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,nut3_code,node_type,node_degree,out_flights_number,in_flights_number
"Bolzano (BZ), IT",Bolzano (BZ),IT,IT-32,46.459245,11.326125,LIPB,1,,,64,59,5
"Culleredo, ES",Culleredo,ES,ES-GA,43.302101,-8.37726,LECO,1,,,184,90,94
"Madrid, ES",Madrid,ES,ES-MD,40.432053999999994,-3.6786944999999998,"LEMD, LECU",2,,,5096,2529,2567
"Szymany, PL",Szymany,PL,PL-WN,53.481899,20.9377,EPSY,1,,,17,8,9
"Spata-Artemida, GR",Spata-Artemida,GR,GR-I,37.936401,23.9445,LGAV,1,,,1979,1243,736
"Leirvik, NO",Leirvik,NO,NO-46,59.791901,5.34085,ENSO,1,,,28,14,14
"Santiago de Compostela, ES",Santiago de Compostela,ES,ES-GA,42.896301,-8.41514,LEST,1,,,163,92,71
"Wevelgem, BE",Wevelgem,BE,BE-VWV,50.818878,3.209551,EBKT,1,,,49,22,27
"Rørvik, NO",Rørvik,NO,NO-50,64.838302612305,11.14610004425,ENRM,1,,,7,1,6
"Zaventem, BE",Zaventem,BE,BE-VBR,50.901402,4.48444,EBBR,1,,,1295,420,875
"Leixlip, IE",Leixlip,IE,IE-D,53.351622,-6.490357,EIWT,1,,,16,7,9
"Velika Gorica, HR",Velika Gorica,HR,HR-01,45.742901,16.0688,LDZA,1,,,326,218,108
"Malmö, SE",Malmö,SE,SE-M,55.535564,13.376327,ESMS,1,,,154,77,77
"Toulouse/Blagnac, FR",Toulouse/Blagnac,FR,FR-OCC,43.629101,1.36382,LFBO,1,,,1038,520,518
"Antalya, TR",Antalya,TR,TR-07,36.898701,30.800501,LTAI,1,,,735,446,289
"Caselle (VR), IT",Caselle (VR),IT,IT-34,45.394955,10.887303,LIPX,1,,,326,171,155
"Lübeck, DE",Lübeck,DE,DE-SH,53.805401,10.7192,EDHL,1,,,36,18,18
"Köln (Cologne), DE",Köln (Cologne),DE,DE-NW,50.865898,7.14274,EDDK,1,,,1216,605,611
"Segrate (MI), IT",Segrate (MI),IT,IT-25,45.445099,9.27674,LIML,1,,,1825,936,889
"Ängelholm, SE",Ängelholm,SE,SE-M,56.29610061645508,12.847100257873535,ESTA,1,,,61,31,30
"Cambridge, Cambridgeshire, GB","Cambridge, Cambridgeshire",GB,GB-ENG,52.205002,0.175,EGSC,1,,,16,8,8
"Hannover, DE",Hannover,DE,DE-NI,52.461102,9.68508,EDDV,1,,,573,287,286
"Aarhus, DK",Aarhus,DK,DK-82,56.303331,10.618286,EKAH,1,,,39,21,18
"Bordeaux, FR",Bordeaux,FR,FR-NAQ,44.82865,-0.715356,LFBD,1,,,649,328,321
"Siljansnäs, SE",Siljansnäs,SE,SE-W,60.785099,14.8272,ESVS,1,,,7,1,6
"Derry, Derry and Strabane, GB","Derry, Derry and Strabane",GB,GB-NIR,55.042801,-7.16111,EGAE,1,,,12,10,2
"Le Mans, Sarthe, FR","Le Mans, Sarthe",FR,FR-PDL,47.948604,0.201702,LFRM,1,,,10,4,6
"Lamezia Terme (CZ), IT",Lamezia Terme (CZ),IT,IT-78,38.906214,16.246007,LICA,1,,,297,146,151
"Bodrum, TR",Bodrum,TR,TR-48,37.194706499999995,27.6668555,LTFE,1,,,72,43,29
"Reus, ES",Reus,ES,ES-CT,41.147509,1.168354,LERS,1,,,4,0,4
"Halmstad, SE",Halmstad,SE,SE-N,56.69110107421875,12.820199966430664,ESMT,1,,,36,19,17
"Caselle Torinese (TO), IT",Caselle Torinese (TO),IT,IT-21,45.200802,7.64963,LIMF,1,,,624,320,304
"Alajero, La Gomera Island, ES","Alajero, La Gomera Island",ES,ES-CN,28.0296,-17.2146,GCGM,1,,,33,0,33
"Catania, IT",Catania,IT,IT-82,37.466801,15.0664,LICC,1,,,58,18,40
"Sta Cruz de la Palma, La Palma Island, ES","Sta Cruz de la Palma, La Palma Island",ES,ES-CN,28.626499,-17.7556,GCLA,1,,,64,33,31
"Treviso (TV), IT",Treviso (TV),IT,IT-34,45.648399,12.1944,LIPH,1,,,106,76,30
"Büren, DE",Büren,DE,DE-NW,51.612527,8.617459,EDLP,1,,,46,26,20
"Balice, PL",Balice,PL,PL-MA,50.077702,19.7848,EPKK,1,,,1342,670,672
"Berlin, DE",Berlin,DE,DE-BR,52.361738,13.502341,EDDB,1,,,2529,1262,1267
"Stavanger, NO",Stavanger,NO,NO-11,58.876701,5.63778,ENZV,1,,,665,337,328
"Girona, ES",Girona,ES,ES-CT,41.904639,2.761774,LEGE,1,,,42,33,9
